"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
1,"ROI53","Dn1.2","45",80620037.67,3.348,49.82,5,5,"vPC1"
2,"ROI46","Dc2.3","59",64034573.74,3.766,63.25,12.3,5.7,"vPC2"
3,"ROI46","Dc2.2","30",63673299.51,3.766,63.25,12.2,5.9,"vPC2"
4,"ROI46","Dc2.1","1",63137482.42,3.766,63.26,12.2,5,"vPC2"
5,"ROI46","Dc1.1","0",60961276.86,3.767,63.28,13.5,5,"vPC2"
6,"ROI46","Dc1.3","58",60521038.38,3.767,63.28,13.7,5,"vPC2"
7,"ROI46","Dc1.2","29",60472007.84,3.767,63.28,13.5,5,"vPC2"
8,"ROI46","Dc3.3","60",58437553.27,3.767,63.25,13.8,6.6,"vPC2"
9,"ROI46","Dc3.1","2",58161113.19,3.766,63.25,14.5,5.6,"vPC2"
10,"ROI46","Dc3.2","31",57671767.99,3.767,63.25,15.4,5.1,"vPC2"
11,"ROI46","Dc5.1","4",56300260.95,3.762,63.24,11.8,5,"vPC2"
12,"ROI46","Dc5.3","62",55710066.17,3.765,63.26,11.9,7,"vPC2"
13,"ROI46","Dc5.2","33",54461435.96,3.762,63.24,11.7,5,"vPC2"
14,"ROI53","Dn1.3","74",51798901.64,3.348,49.83,5,5,"vPC1"
15,"ROI46","Do1.2","51",48457692.36,3.76,63.21,13.2,5.9,"vPC2"
16,"ROI46","Do1.1","22",47436790.81,3.76,63.21,13.2,5,"vPC2"
17,"ROI26","Do1.1","22",47266199.81,1.286,30.54,9,20,"vPC3"
18,"ROI26","Do3.3","82",46867825.82,1.286,30.54,8.5,20,"vPC3"
19,"ROI26","Do4.2","54",46805585.19,1.284,30.55,8.7,20,"vPC3"
20,"ROI46","Do1.3","80",46227879.92,3.76,63.19,13.1,5.1,"vPC2"
21,"ROI26","Do4.3","83",45639150.37,1.284,30.55,8.2,20,"vPC3"
22,"ROI26","Do3.1","24",44677467.31,1.285,30.54,9,20,"vPC3"
23,"ROI26","Do4.1","25",44315408.26,1.285,30.53,8.4,20,"vPC3"
24,"ROI46","Do3.3","82",44302336.98,3.762,63.25,11.8,9.1,"vPC2"
25,"ROI26","Do1.1","22",44178715.29,1.327,30.05,20,20,"vPC4"
26,"ROI26","Dc5.1","4",44145372.39,1.325,30.06,20,20,"vPC4"
27,"ROI26","Do2.2","52",43984427.72,1.286,30.54,8.9,20,"vPC3"
28,"ROI26","Do2.1","23",43940575.25,1.286,30.54,8.7,20,"vPC3"
29,"ROI26","Do1.3","80",43412588.94,1.328,30.03,20,20,"vPC4"
30,"ROI26","Do3.2","53",43340959.92,1.284,30.55,8,20,"vPC3"
31,"ROI26","Do1.3","80",43213925.74,1.287,30.53,8,20,"vPC3"
32,"ROI26","Do1.2","51",43199844.23,1.287,30.54,8.7,20,"vPC3"
33,"ROI26","Dc5.2","33",43191261.59,1.325,30.06,20,20,"vPC4"
34,"ROI26","Do5.3","84",43121660.47,1.282,30.54,8.5,20,"vPC3"
35,"ROI26","Do1.2","51",42955187.78,1.327,30.05,20,20,"vPC4"
36,"ROI26","Do3.3","82",42752591.69,1.327,30.06,20,20,"vPC4"
37,"ROI26","Dc4.1","3",42745269.57,1.326,30.08,20,20,"vPC4"
38,"ROI26","Dd3.3","65",42647954.52,1.287,30.53,9.9,20,"vPC3"
39,"ROI26","Dc5.3","62",42183911.93,1.323,30.07,20,20,"vPC4"
40,"ROI53","Dn4.3","77",42141988.39,3.349,49.83,5,5,"vPC1"
41,"ROI26","Dd3.2","36",41528239.72,1.287,30.53,10,20,"vPC3"
42,"ROI26","Dc4.3","61",41217710.95,1.326,30.08,20,20,"vPC4"
43,"ROI26","Dc4.2","32",41036388.6,1.327,30.08,20,20,"vPC4"
44,"ROI26","Do5.2","55",40437963.8,1.282,30.53,8,20,"vPC3"
45,"ROI26","Do5.1","26",39996814.63,1.282,30.54,8.7,20,"vPC3"
46,"ROI46","Do3.2","53",39574304.26,3.762,63.25,11.4,5,"vPC2"
47,"ROI26","Do2.3","81",39342351.91,1.287,30.53,8.2,20,"vPC3"
