,vPC_num,H_data,C_data
1,vPC1,3.348296905,49.78764147
2,vPC2,3.765301938,63.25855486
3,vPC3,1.281454459,30.53985117
4,vPC4,1.321192848,30.06690243
5,vPC5,3.299506658,71.52598092
6,vPC6,4.49129786,97.97489873
7,vPC7,3.834065864,74.19081702
8,vPC8,3.783724473,72.79170473
9,vPC9,3.622548667,63.88286538
10,vPC10,5.396599024,93.46542348
11,vPC11,3.665612933,62.60446891
12,vPC12,3.297893953,77.78395074
13,vPC13,3.14388993,76.07231892
14,vPC14,4.105454076,79.11898765
15,vPC15,4.031820388,75.50746319
16,vPC16,5.12332305,93.77266064
17,vPC17,3.702372051,62.49138174
18,vPC18,3.363539273,77.87464874
19,vPC19,3.73298913,61.99266261
20,vPC20,3.646528946,63.87390077
21,vPC21,3.498949738,64.34998448
22,vPC22,3.732821975,74.41895625
23,vPC23,3.371827486,71.12864798
24,vPC24,3.775539316,83.49963763
25,vPC25,3.862829182,62.58284126
26,vPC26,3.44697498,72.98862087
27,vPC28,3.378276236,73.61288901
28,vPC29,3.379431559,77.83313609
29,vPC31,3.780888439,62.52807084
30,vPC32,3.683115383,74.67766105
31,vPC33,3.76169204,56.44481097
32,vPC35,1.248930695,17.88141205
33,vPC36,3.854269772,71.03938055
34,vPC37,3.8033377,62.05162855
35,vPC38,3.71843402,74.41922639
36,vPC40,3.320417106,71.64812459
37,vPC41,3.522308434,64.21451133
38,vPC42,2.059443645,27.97554694
39,vPC43,1.020894618,19.68012059
40,vPC44,3.797493883,69.16660964
41,vPC46,4.115546623,79.07788262
42,vPC47,3.798281589,71.60545501
43,vPC48,3.793960451,56.49502648
44,vPC49,3.584400637,64.24021961
45,vPC53,0.899524488,14.31507032
46,vPC55,3.489222152,65.65779137
47,vPC57,3.388348545,71.09305267
48,vPC58,3.679124858,65.65001898
49,vPC60,3.22803404,54.5743993
50,vPC61,1.003708135,19.68577493
51,vPC62,1.600231452,25.8584491
52,vPC63,4.027922603,64.37943812
53,vPC64,3.84506776,62.63420537
54,vPC67,3.65196547,73.03393535
55,vPC68,3.633577882,64.51046278
56,vPC69,2.78348892,41.04555943
57,vPC71,3.817950978,56.57258191
58,vPC72,3.97981175,68.31131683
59,vPC73,2.603932443,41.04231396
60,vPC74,1.358862013,30.48274298
61,vPC75,4.367383195,67.30819385
62,vPC76,2.319882449,34.83735857
63,vPC77,3.30958325,49.16472216
64,vPC78,1.298554794,30.23908303
65,vPC80,3.762481905,82.96214284
66,vPC81,3.819371391,61.95384474
67,vPC82,3.429077617,77.86245001
68,vPC83,3.506371879,74.67050292
69,vPC84,3.849663789,56.65550714
70,vPC85,3.649277892,64.49384799
71,vPC86,2.807241152,41.06651769
72,vPC89,3.702397632,72.74184575
73,vPC90,3.430123496,71.05412998
74,vPC91,4.945679075,102.3044997
75,vPC92,0.944588728,17.14483691
76,vPC94,4.008707328,64.42632085
77,vPC95,3.71401938,62.02004457
78,vPC96,6.957723312,122.7723457
79,vPC97,3.649065988,62.62488517
80,vPC98,4.0514419,77.35105354
81,vPC99,2.769285322,26.39248514
82,vPC100,3.605046348,63.79769911
83,vPC102,3.659629174,73.68629774
84,vPC104,0.937541283,15.24867734
85,vPC105,0.989973142,15.92134173
86,vPC106,4.055017149,76.53947354
87,vPC107,3.721785247,64.00763956
88,vPC108,3.66942194,72.74617303
89,vPC109,3.271711401,77.67173453
90,vPC110,3.664852696,63.76090562
91,vPC111,3.429675911,73.00683542
92,vPC114,3.49856078,77.74269153
93,vPC115,1.007854955,21.06923664
94,vPC117,2.263214783,35.18034278
