ID,GroupID,SI,Amplitude,Center,LW..Hz.
1,1,0,269395.43,"5.177, 102.55","15.4,   49.5"
3,3783,0,60961276.86,"3.767,  63.28","13.5,    5.0"
15,9,0,28244472.36,"3.348,  49.78","5.0,    5.0"
18,12,0,29996326.96,"5.397,  93.47","6.8,    5.0"
48,3783,0,28372060.28,"3.624,  63.83","9.9,   20.0"
84,41,0,21391255.5,"3.778,  83.50","9.9,    7.1"
99,51,0,32133313.17,"3.834,  74.18","20.0,    6.7"
102,52,0,29249139.18,"4.111,  79.10","16.4,    5.0"
112,51,0,22564800.64,"3.303,  71.53","13.4,   20.0"
138,71,0,16553593.33,"5.127,  93.77","6.2,    5.0"
140,3783,0,23403148.85,"3.649,  63.81","7.2,   20.0"
146,51,0,22545909.28,"3.454,  72.98","14.5,    5.0"
148,3783,0,20663248.71,"3.801,  62.04","8.4,   20.0"
156,3783,0,25411303.12,"3.736,  61.98","15.3,    5.0"
171,51,0,27077834.21,"3.734,  74.42","20.0,    5.7"
208,51,0,18199250.61,"3.302,  77.78","9.8,   11.9"
210,181,0,16659945.76,"1.277,  30.53","8.5,   20.0"
217,101,0,29060085.12,"4.032,  75.51","20.0,    9.9"
236,51,0,24637381.92,"3.377,  71.11","16.9,    5.0"
258,121,0,19425989.64,"4.498,  97.96","13.8,    5.0"
428,3783,0,19006869.85,"3.703,  62.51","20.0,   20.0"
443,181,0,19398498.71,"1.320,  30.05","20.0,   20.0"
520,210,0,11908863.57,"4.365,  67.36","9.2,    5.0"
522,3783,0,12737442.23,"3.781,  62.55","10.7,   14.5"
541,217,0,18754851.62,"3.784,  72.80","20.0,   20.0"
544,51,0,13113464.29,"3.385,  73.60","15.0,    8.7"
572,3783,0,8201380.27,"3.849,  62.62","9.0,    5.0"
579,231,0,9886266.15,"6.731, 136.93","7.1,    8.8"
593,3783,0,11136377.33,"3.863,  62.61","12.5,    8.5"
600,237,0,18007593.55,"3.150,  76.06","20.0,   10.5"
635,51,0,13162485.71,"3.685,  74.68","15.9,   12.0"
649,3783,0,18965214.44,"3.670,  62.62","20.0,   20.0"
671,51,0,18000505.85,"3.369,  77.85","20.0,   17.1"
686,273,0,13109406.49,"3.654,  73.00","17.5,   20.0"
717,3783,0,11516439.56,"3.819,  61.95","6.5,    5.0"
771,311,0,12326563.19,"3.976,  68.30","20.0,   20.0"
835,51,0,7510805.8,"3.438,  72.97","5.0,    5.0"
1042,273,0,5858114.12,"3.860,  71.03","7.4,   16.7"
1053,51,0,11311539.65,"3.324,  71.66","15.9,   16.3"
1057,1769,0,7752654.09,"3.813,  56.54","20.0,   20.0"
1071,3783,0,6982123.21,"3.718,  61.99","5.0,   17.4"
1118,415,0,4171653.96,"3.203,  54.60","5.0,   11.8"
1120,9,0,4102516.76,"3.309,  49.21","5.0,    9.6"
1170,3783,0,8661591.6,"3.604,  63.82","6.4,   20.0"
1193,2145,0,4779709.95,"2.748,  32.28","9.1,    6.3"
1196,3783,0,4977882.35,"3.653,  62.61","5.0,   20.0"
1238,448,0,8267251.22,"2.056,  27.96","20.0,   16.7"
1239,449,0,4910842.06,"2.175,  32.28","11.6,    6.1"
1240,1769,0,6878464.02,"3.766,  56.46","18.4,   20.0"
1277,273,0,4259068.86,"3.801,  71.62","5.0,   20.0"
1280,2125,0,4228805.38,"3.800,  69.16","6.7,   20.0"
1309,41,0,6723535.31,"3.792,  83.49","5.0,   11.8"
1327,472,0,7310568.96,"0.897, 14.322","18.5,    8.8"
1357,2145,0,4284415.76,"2.719,  32.28","7.6,    6.4"
1391,1769,0,5712049.05,"3.853,  56.68","20.0,   20.0"
1410,51,0,6482295.73,"3.483,  76.54","18.9,   20.0"
1458,3783,0,4791297.24,"3.799,  62.62","5.6,    5.0"
1466,449,0,4396269.14,"2.206,  32.28","10.5,    8.3"
1514,3783,0,7510503.31,"3.667,  63.78","5.0,   20.0"
1546,3783,0,3409340.68,"3.673,  65.64","9.6,    9.9"
1552,544,0,3361014.41,"3.477,  65.64","8.7,   20.0"
1565,3783,0,6376424.42,"3.503,  64.37","20.0,   20.0"
1569,550,0,4879571.98,"1.596,  25.88","20.0,   20.0"
1572,3783,0,2370751.79,"3.634,  64.47","5.0,    5.0"
1598,51,0,3968516.26,"3.371,  73.61","5.0,   13.7"
1655,51,0,2451957.33,"3.715,  74.38","5.0,    5.0"
1722,587,0,3234605.23,"4.027,  64.40","9.0,    7.8"
1724,181,0,5225048.1,"1.355,  30.45","20.0,   20.0"
1757,597,0,4125393.45,"2.766,  26.39","17.7,    5.0"
1890,646,0,4085023.7,"2.028,  38.47","20.0,   20.0"
1904,51,0,3207061.65,"3.394,  71.09","5.0,    5.0"
2068,51,0,2990535.54,"3.360,  71.16","5.0,   15.3"
2099,707,0,2168498.52,"4.052,  77.36","7.9,   20.0"
2175,544,0,2377683.15,"3.494,  65.64","5.0,   20.0"
2190,3783,0,2869107.69,"3.654,  64.51","9.3,   20.0"
2191,41,0,2635267.71,"3.769,  83.22","5.0,   20.0"
2202,743,0,3178982.32,"1.311,  23.50","20.0,   20.0"
2267,311,0,3982321.22,"3.960,  68.74","19.5,   20.0"
2269,3783,0,2314533.34,"3.690,  65.63","5.0,   19.8"
2292,587,0,2192706.87,"4.008,  64.41","5.0,   12.9"
2361,797,0,3184233.49,"2.261,  35.26","20.0,   10.6"
2397,707,0,2013952.04,"4.055,  76.53","9.2,   20.0"
2551,853,0,2469625.72,"5.341, 130.72","18.8,   20.0"
2558,797,0,2764940.18,"2.317,  34.84","20.0,   20.0"
2560,856,0,1706613.38,"1.003,  19.70","9.0,   20.0"
2611,181,0,2966641.95,"1.294,  30.25","13.3,   20.0"
2621,877,0,2738653.16,"5.329, 128.94","20.0,   20.0"
2728,3783,0,2155510.77,"3.724,  64.03","20.0,   20.0"
2736,1769,0,3176518.26,"3.794,  56.38","20.0,    5.0"
2751,914,0,1249530.71,"0.693, 12.128","5.0,    5.0"
2832,1769,0,2920726.88,"3.880,  56.54","20.0,   20.0"
2847,954,0,2680921.97,"4.142,  71.70","20.0,   20.0"
2965,991,0,2059304.56,"0.851,  20.05","16.5,   20.0"
3017,51,0,1449176.19,"3.703,  74.75","5.0,    5.0"
3100,51,0,1919300.01,"3.667,  74.63","5.0,   20.0"
3117,101,0,904590.05,"4.110,  75.51","5.0,   20.0"
3120,1035,0,1745364.22,"1.276,  32.80","15.5,   20.0"
3143,1035,0,2011478.28,"1.300,  32.52","20.0,   20.0"
3170,52,0,1199303.34,"4.039,  79.08","5.3,   20.0"
3178,181,0,2297730.31,"1.326,  30.56","20.0,   20.0"
3256,1090,0,1695598.13,"0.931,  19.16","15.8,   20.0"
3326,1769,0,3369738.64,"3.832,  56.69","20.0,   20.0"
3382,3783,0,1335380.21,"3.528,  64.14","10.2,   20.0"
3429,3783,0,940165.72,"3.584,  64.22","5.0,    5.0"
3451,2125,0,999422,"3.779,  69.16","5.0,   20.0"
3528,41,0,1209190.33,"3.756,  82.89","20.0,    5.0"
3690,3783,0,1570121.15,"3.558,  63.86","18.1,   14.9"
3704,1530,0,1510029.47,"1.899,  41.63","20.0,   20.0"
3765,550,0,2019990.72,"1.579,  26.07","20.0,   20.0"
3778,1769,0,1308429.91,"3.734,  56.59","20.0,   13.2"
3787,991,0,1340009.12,"0.830,  19.28","14.4,    6.0"
3809,3783,0,1750102.99,"3.565,  62.11","20.0,   20.0"
3860,707,0,1237274.47,"3.966,  77.75","13.4,   20.0"
3896,51,0,906575.76,"3.445,  74.45","7.6,   20.0"
3917,311,0,946227.05,"3.987,  68.08","7.9,    5.0"
3940,1299,0,968337.44,"3.209,  52.39","8.6,   20.0"
3941,1300,0,1114606.23,"3.483,  68.86","12.4,   20.0"
3987,273,0,1361343.91,"3.823,  71.60","12.0,   20.0"
