w1,w2,Volume,lw1,lw2
154.705,8.717,2.59E+13,94.9,11.7
150.527,8.941,2.01E+13,96.1,10
149.187,8.238,7.32E+12,97.2,10
143.094,8.348,7.39E+12,97.2,10.1
139.35,8.252,2.49E+13,94.8,16.5
127.077,7.599,2.73E+13,96.3,17.2
98.742,4.652,4.84E+12,100.2,17.7
94.978,5.254,3.17E+12,100.1,11
92.131,4.807,1.24E+12,199.7,6.3
91.157,6.104,1.08E+13,97.3,12.8
88.416,4.287,1.15E+13,97.5,12.7
79.085,3.739,4.69E+12,100.2,18.1
78.389,3.521,4.16E+12,103.3,16.2
76.841,4.779,1.09E+13,97.4,14.5
76.828,3.298,3.95E+12,101.3,18.6
75.416,3.738,2.74E+12,100.5,19.6
74.712,4.102,1.40E+12,101.4,10.5
74.716,4.086,1.32E+12,99,9.9
74.768,3.521,7.83E+12,128.4,24.6
74.142,3.587,4.11E+12,101.9,20.4
73.183,4.448,1.14E+13,95.9,13.4
69.04,3.934,6.98E+11,95.9,7.9
69.02,3.912,3.90E+13,96.6,9.6
64.127,3.93,4.75E+12,98.4,11
64.128,3.911,6.58E+12,96.6,10.5
64.122,3.859,7.24E+12,97.9,11.6
64.125,3.84,4.27E+12,98.6,11.1
59.243,4.06,1.19E+12,108.9,10.5
58.971,4.043,1.21E+12,119.1,11.5
57.165,3.276,3.44E+11,21.5,9.9
56.968,3.783,3.27E+12,97.5,15.9
56.246,3.311,7.77E+11,98.7,8
56.214,3.299,1.68E+12,96,4.6
56.202,3.276,1.94E+14,95.6,9.6
56.239,3.24,6.13E+11,108.3,6.5
55.222,3.277,4.69E+11,24.5,10.8
50.373,3.433,9.62E+11,94.9,11.1
50.385,3.276,4.36E+13,95.4,15.4
38.163,3.432,4.84E+13,96.1,15.5
38.155,3.278,1.54E+12,103.5,11.3
33.65,2.463,6.58E+12,99.5,29.6
33.008,3.05,4.97E+12,97,9.5
29.084,2.151,6.79E+12,98.6,23.2
