"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
1,"ROI53","Dn1.2",16,80620037.67,3.348,49.82,5,5,"vPC1"
2,"ROI53","Dn1.3",16,51798901.64,3.348,49.83,5,5,"vPC1"
3,"ROI53","Dn4.3",19,42141988.39,3.349,49.83,5,5,"vPC1"
4,"ROI53","Dn6.3",21,32595677.59,3.348,49.84,5,5,"vPC1"
5,"ROI53","Dc1.1",0,28244472.36,3.348,49.78,5,5,"vPC1"
6,"ROI53","Dn4.1",19,27745382.43,3.348,49.83,5,5,"vPC1"
7,"ROI53","Dd4.2",8,21928323.22,3.349,49.77,5,5,"vPC1"
8,"ROI53","Dd4.3",8,21340445.44,3.348,49.78,5,5,"vPC1"
9,"ROI53","Dd5.2",9,16771036.66,3.35,49.83,5,5,"vPC1"
10,"ROI53","Dd6.1",10,15645089.57,3.348,49.76,5,5,"vPC1"
11,"ROI53","Dn2.2",17,14608165.51,3.348,49.78,5,5,"vPC1"
12,"ROI53","Df3.3",14,13821324.55,3.348,49.76,5,5,"vPC1"
13,"ROI53","Dd4.1",8,13695154.75,3.348,49.79,5,5,"vPC1"
14,"ROI53","Dd2.3",6,13636719.97,3.348,49.74,5,5,"vPC1"
15,"ROI53","Dn5.2",20,12353597.82,3.349,49.79,5,5,"vPC1"
16,"ROI53","Dd1.1",5,12035345.07,3.348,49.77,5,5,"vPC1"
17,"ROI53","Dd5.1",9,12011367.23,3.348,49.8,5,5,"vPC1"
18,"ROI53","Dd7.1",11,11947290.28,3.349,49.77,5,5,"vPC1"
19,"ROI53","Dd2.2",6,11739343.81,3.348,49.76,5,5,"vPC1"
20,"ROI53","Dn1.1",16,11632551.7,3.348,49.81,5,5,"vPC1"
21,"ROI53","Df4.1",15,11174805.72,3.348,49.76,5,5,"vPC1"
22,"ROI53","Df3.1",14,10385565.94,3.348,49.76,5,5,"vPC1"
23,"ROI53","Do6.1",27,10353338.25,3.348,49.75,5,5,"vPC1"
24,"ROI53","Df2.1",13,10098509.23,3.348,49.73,5,5,"vPC1"
25,"ROI53","Dd5.3",9,9986323.32,3.348,49.8,5,5,"vPC1"
26,"ROI53","Dn2.3",17,9666699.62,3.349,49.77,5,5,"vPC1"
27,"ROI53","Dn5.3",20,9338251.72,3.349,49.78,5,5,"vPC1"
28,"ROI53","Dn4.2",19,9261975.99,3.349,49.84,5.1,5.4,"vPC1"
29,"ROI53","Df3.2",14,8747635.73,3.348,49.76,5,5,"vPC1"
30,"ROI53","Df1.1",12,8681725.3,3.349,49.77,5,5,"vPC1"
31,"ROI53","Dc1.3",0,8660307.41,3.348,49.78,5,5,"vPC1"
32,"ROI53","Df1.2",12,8545875.07,3.349,49.77,5,5,"vPC1"
33,"ROI53","Dc2.2",1,7446128.55,3.348,49.75,5,5,"vPC1"
34,"ROI53","Dn3.2",18,7398713.22,3.349,49.71,5,5,"vPC1"
35,"ROI53","Dd1.2",5,7358821.35,3.349,49.77,5,5,"vPC1"
36,"ROI53","Dc2.3",1,7123913.34,3.348,49.75,5,5,"vPC1"
37,"ROI53","Dc3.2",2,7049781.75,3.349,49.77,5,5,"vPC1"
38,"ROI53","Dn2.1",17,6503851.85,3.348,49.78,5,5,"vPC1"
39,"ROI53","Dd2.1",6,6419259.11,3.348,49.76,5,5,"vPC1"
40,"ROI53","Dn6.1",21,6226524.57,3.348,49.84,5,5,"vPC1"
41,"ROI53","Dd1.3",5,6060091.58,3.348,49.76,5,5,"vPC1"
42,"ROI53","Dc3.3",2,5954881.6,3.348,49.77,5,5,"vPC1"
43,"ROI53","Df2.2",13,5868072.43,3.348,49.73,5,5,"vPC1"
44,"ROI53","Df1.3",12,5553532.2,3.348,49.77,5,5,"vPC1"
45,"ROI53","Do3.1",24,5422744.33,3.349,49.69,5,13.1,"vPC1"
46,"ROI53","Dd7.3",11,5116105.21,3.348,49.79,5,5,"vPC1"
47,"ROI53","Df4.3",15,5097510.23,3.349,49.76,5,5,"vPC1"
48,"ROI53","Do6.2",27,4984513.92,3.348,49.76,5,5,"vPC1"
49,"ROI53","Dd6.2",10,4723497.78,3.348,49.76,5,5,"vPC1"
50,"ROI53","Dn3.1",18,4181416.54,3.348,49.7,5,5,"vPC1"
51,"ROI53","Df2.3",13,3906769.03,3.349,49.72,5,5,"vPC1"
52,"ROI53","Dn6.2",21,3894782.71,3.348,49.85,5,5,"vPC1"
53,"ROI53","Dc3.1",2,3806332.14,3.348,49.77,5,5,"vPC1"
54,"ROI53","Do5.3",26,3575974.75,3.348,49.72,5,5,"vPC1"
55,"ROI53","Do5.2",26,3482136.81,3.349,49.72,5,8.1,"vPC1"
56,"ROI53","Do4.3",25,3299233.46,3.349,49.69,5,8.7,"vPC1"
57,"ROI53","Dn5.1",20,3132861.98,3.348,49.78,5,5,"vPC1"
58,"ROI53","Dd7.2",11,2757588.09,3.348,49.77,5,5,"vPC1"
59,"ROI53","Dd6.3",10,2573066.97,3.349,49.75,5,5,"vPC1"
60,"ROI53","Do6.3",27,2502572.28,3.349,49.73,5,5,"vPC1"
61,"ROI53","Dd3.2",7,2280090.82,3.348,49.7,5,7.8,"vPC1"
62,"ROI53","Dc4.2",3,2253653.95,3.348,49.69,5,5,"vPC1"
63,"ROI53","Dc4.3",3,2045114.46,3.348,49.7,5,5,"vPC1"
64,"ROI53","Df4.2",15,1958407.1,3.348,49.76,5,5,"vPC1"
65,"ROI53","Dn3.3",18,1846189.87,3.348,49.7,5,5,"vPC1"
66,"ROI53","Do7.1",28,1679503.21,3.348,49.73,5,5,"vPC1"
67,"ROI53","Dc2.1",1,1475647,3.348,49.76,5,5,"vPC1"
